"vhigh,vhigh,2,2,","small,low,unacc"
"vhigh,vhigh,2,2,","small,med,unacc"
"vhigh,vhigh,2,2,","small,high,unacc"
"vhigh,vhigh,2,2,","med,low,unacc"
"vhigh,vhigh,2,2,","med,med,unacc"
"vhigh,vhigh,2,2,","med,high,unacc"
"vhigh,vhigh,2,2,","big,low,unacc"
"vhigh,vhigh,2,2,","big,med,unacc"
"vhigh,vhigh,2,2,","big,high,unacc"
"vhigh,vhigh,2,4,","small,low,unacc"
"vhigh,vhigh,2,4,","small,med,unacc"
"vhigh,vhigh,2,4,","small,high,unacc"
"vhigh,vhigh,2,4,","med,low,unacc"
"vhigh,vhigh,2,4,","med,med,unacc"
"vhigh,vhigh,2,4,","med,high,unacc"
"vhigh,vhigh,2,4,","big,low,unacc"
"vhigh,vhigh,2,4,","big,med,unacc"
"vhigh,vhigh,2,4,","big,high,unacc"
"vhigh,vhigh,2,mo","re,small,low,unacc"
"vhigh,vhigh,2,mo","re,small,med,unacc"
"vhigh,vhigh,2,mo","re,small,high,unacc"
"vhigh,vhigh,2,mo","re,med,low,unacc"
"vhigh,vhigh,2,mo","re,med,med,unacc"
"vhigh,vhigh,2,mo","re,med,high,unacc"
"vhigh,vhigh,2,mo","re,big,low,unacc"
"vhigh,vhigh,2,mo","re,big,med,unacc"
"vhigh,vhigh,2,mo","re,big,high,unacc"
"vhigh,vhigh,3,2,","small,low,unacc"
"vhigh,vhigh,3,2,","small,med,unacc"
"vhigh,vhigh,3,2,","small,high,unacc"
"vhigh,vhigh,3,2,","med,low,unacc"
"vhigh,vhigh,3,2,","med,med,unacc"
"vhigh,vhigh,3,2,","med,high,unacc"
"vhigh,vhigh,3,2,","big,low,unacc"
"vhigh,vhigh,3,2,","big,med,unacc"
"vhigh,vhigh,3,2,","big,high,unacc"
"vhigh,vhigh,3,4,","small,low,unacc"
"vhigh,vhigh,3,4,","small,med,unacc"
"vhigh,vhigh,3,4,","small,high,unacc"
"vhigh,vhigh,3,4,","med,low,unacc"
"vhigh,vhigh,3,4,","med,med,unacc"
"vhigh,vhigh,3,4,","med,high,unacc"
"vhigh,vhigh,3,4,","big,low,unacc"
"vhigh,vhigh,3,4,","big,med,unacc"
"vhigh,vhigh,3,4,","big,high,unacc"
"vhigh,vhigh,3,mo","re,small,low,unacc"
"vhigh,vhigh,3,mo","re,small,med,unacc"
"vhigh,vhigh,3,mo","re,small,high,unacc"
"vhigh,vhigh,3,mo","re,med,low,unacc"
"vhigh,vhigh,3,mo","re,med,med,unacc"
"vhigh,vhigh,3,mo","re,med,high,unacc"
"vhigh,vhigh,3,mo","re,big,low,unacc"
"vhigh,vhigh,3,mo","re,big,med,unacc"
"vhigh,vhigh,3,mo","re,big,high,unacc"
